age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,remark,pline,track,hhead,respond,year,returnee
44.0,12.0,39999.99609375,3.0,0,5890154.5,158936.0,400000.0,140200.0,,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,,1.0,1.0,2015026525,,2.0,0,0.0,0.0,2015.0,1.0
44.0,6.0,,7.0,0,404387.3,36300.0,,47219.992,,1.0,,2.0,,,,,,,0.0,1.0,1.0,201107128,,2.0,1,0.0,0.0,2015.0,0.0
46.0,6.0,,2.0,1,138500.0,61701.0,13000.0,23468.002,,0.0,1.0,2.0,2.0,1.0,3.0,3.0,,0.0,0.0,1.0,1.0,2015008801,,2.0,0,0.0,0.0,2015.0,1.0
22.0,6.0,,7.0,1,423737.0,64958.0,80000.0,26435.332,,0.0,1.0,2.0,2.0,0.0,3.0,3.0,,0.0,,1.0,2.0,2013016938,,4.0,1,0.0,0.0,2015.0,1.0
19.0,9.0,29293.060546875,5.0,0,593687.5,33289.0,68600.0,38780.0,,0.0,1.0,1.0,1.0,1.0,,3.0,0.0,0.0,0.0,1.0,2.0,2013026613,,5.0,1,0.0,0.0,2015.0,1.0
25.0,12.0,,3.0,0,47412.28,50448.0,,41176.0,,0.0,,1.0,,,,,,,0.0,1.0,2.0,2013015080,,5.0,1,0.0,0.0,2015.0,0.0
28.0,15.0,,2.0,0,530514.9,13000.0,,73059.99,,0.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,,2.0,1.0,2015004581,,1.0,0,0.0,1.0,2015.0,1.0
43.0,6.0,,2.0,0,38120.188,1000.0,,29616.0,,0.0,0.0,2.0,1.0,0.0,,,,0.0,1.0,2.0,2.0,2015000234,,1.0,0,0.0,1.0,2015.0,0.0
42.0,6.0,,3.0,0,161500.0,19000.0,,40040.0,,0.0,,2.0,,,,,,,,2.0,1.0,2013022103,,2.0,1,0.0,0.0,2015.0,0.0
26.0,9.0,,4.0,1,650100.0,35729.0,,43699.996,,1.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2015016116,,1.0,0,0.0,1.0,2015.0,1.0
34.0,15.0,100000.015625,3.0,1,1121250.0,121212.0,,119228.305,,0.0,1.0,2.0,2.0,1.0,,3.0,0.0,0.0,0.0,1.0,2.0,201100887,,4.0,1,0.0,0.0,2015.0,1.0
33.0,9.0,,4.0,0,475700.0,28910.0,,22440.002,,1.0,,2.0,,,,,,,0.0,1.0,2.0,2013023372,,3.0,1,0.0,0.0,2015.0,0.0
